Time Series,Anomaly Index,Our Decision,Our Label,Decision,Label,Priority,Confidence,Explanation,Suggested Action
11,189,False Positive,False Positive,False Positive,Direction Ratio Anomaly,Low,Medium,"The detected anomaly in the Direction Ratio Bytes is marginally Higher than the mean, but the change is too small compared to the observed variability, indicating a likely False Positive.",Monitor for trends over the next few hours; no immediate action required unless patterns worsen.
11,389,False Positive,False Positive,False Positive,Decreased Traffic,Low,High,"The detected anomalies in the traffic metrics (bytes, packets, fLows) are slight decreases, but the variations fall within typical statistical fluctuations, suggesting no significant change in network behavior.","No immediate investigation needed, monitor for further anomalies."
11,480,True Positive,Outage/Maintanance,False Positive,Low Traffic,Low,High,"The detected anomalies in packet and fLow counts are consistent with a significant decrease in traffic typically observed during weekends, particularly non-holiday periods.","Monitor traffic patterns over the next few hours to confirm that the decrease is consistent with expected weekend activity, and dismiss for now."
11,607,False Positive,False Positive,False Positive,Minor Traffic Shift,Low,High,"The anomaly in ""Direction Ratio Bytes"" is minor and within the expected fluctuation based on the window averages and standard deviations.","Monitor for recurring patterns, no immediate investigation required."
20,412,False Positive,False Positive,False Positive,Low traffic spike,Low,High,"The detected anomaly shows minor fluctuations in traffic metrics (e.g., Sum of Destination Ports, Number of FLows), which are consistent with typical network variance and do not indicate a significant issue.",No immediate action required; monitor for further anomalies or patterns over time.
20,854,False Positive,False Positive,False Positive,TTL Spike,Low,High,"The detected anomaly in TTL is significantly Higher than the historical values, but the other metrics show no abnormality, suggesting it may be a data fluctuation rather than a security event.",Monitor TTL for a few more intervals and correlate with network events; no immediate action needed unless further anomalies occur.
20,1038,False Positive,False Positive,False Positive,Traffic fluctuation,Low,High,"The detected anomaly in the number of fLows appears to be a minor fluctuation, with values near the mean and standard deviation before and after the anomaly detection.",Monitor for further fluctuations in the upcoming hours but no immediate action required.
122,5786,False Positive,False Positive,False Positive,Low Traffic Volume,Medium,High,"The anomaly in number of bytes and fLows appears to be a false alarm, as the observed decrease in traffic is consistent with typical fluctuations and does not deviate significantly from previous patterns.","Review network traffic trends over the last few weeks to determine if the drop is a normal variation or if it is related to specific events, but no immediate action required."
1367,5413-5745,True Positive,DoS,False Positive,Sudden Traffic Spike,High,High,"The detected anomaly in several metrics like ""Number of Bytes"" and ""Number of FLows"" is due to a sharp increase that doesn't match the normal variance patterns; it may be a transient or non-malicious fluctuation.","Investigate whether this spike corresponds to legitimate traffic patterns (e.g., scheduled tasks, backups) or a misconfigured system, and verify if any network misconfigurations or automation might have caused it."
1367,6341,True Positive,Port Scan,False Positive,Traffic Discrepancy,Low,Medium,"The detected anomaly in ""Sum of Destination Ports"" is an outlier but not significantly different from historical variations, especially considering the holiday weekend context.","Monitor for further unusual behavior, but no immediate action required."
1368,3251,True Positive,Behavior Change,False Positive,Low traffic volume,Low,Medium,"The detected anomalies in metrics like number of bytes, number of packets, and fLow direction ratios do not show significant deviation when compared to the normal patterns before and after the detected anomaly.",SOC team should monitor the metrics for any further unusual behavior but no immediate action is needed unless the patterns persist.
1368,5085,True Positive,Behavior Change,False Positive,Low traffic,Medium,High,"The significant drop in ""Number of FLows"" and ""Sum of Destination ASN"" appears to be an isolated instance, not supported by other metrics, suggesting a likely False Positive.","Review network traffic patterns during the anomaly time and correlate with known Low traffic periods (e.g., maintenance, downtime)."
1370,1800,False Positive,Christmas,False Positive,Low traffic anomaly,Low,Medium,"The values before and after the anomaly do not show significant deviations from the normal traffic pattern, especially for bytes and packet counts.",Monitor the network for further irregularities; no immediate investigation needed.
1553,2539,True Positive,DDoS,False Positive,Traffic Spike,Medium,Medium,"Although multiple metrics show Higher-than-normal values, the spike is consistent with typical fluctuations in traffic rather than a deliberate anomaly.",Monitor further traffic patterns for a short period to verify whether the trend stabilizes or continues.
1605,3405-5520,True Positive,DDoS,False Positive,Volume Spike,Medium,High,"The spike in traffic volume and other metrics such as ""Number of Bytes"" and ""Number of Packets"" is consistent with large data transfers, not an attack or anomaly.",Verify with network admins if there were any planned data transfers or updates during the anomaly period.
3271,1331,True Positive,Behavior Change,False Positive,Unusual traffic spikes,Medium,Medium,"The spikes in the metrics like ""Number of Bytes"" and ""Number of Packets"" are significant but not persistent enough compared to the surrounding data trends, suggesting the anomaly is more likely a transient event or fluctuation.",Investigate the network for potential short-term traffic surges or misconfigurations that could explain the temporary increase in traffic.
10125,2485-2657,True Positive,Behavior Change,False Positive,Traffic Surge,Medium,High,"While multiple metrics are anomalous, the anomaly is primarily driven by a transient surge in bytes/packets, which can occur naturally during High traffic events (like backups or streaming) on weekends.","Investigate for routine traffic patterns, check for scheduled tasks or regular High-traffic applications."
