Time Series,Anomaly Index,Our Decision,Our Label,Decision,Label,Priority,Confidence,Explanation,Suggested Action
11,189,False Positive,False Positive,False Positive,Network Traffic Spike,Medium,High,"The detected anomaly in the ""Direction Ratio Bytes"" metric (0.52) is just slightly above the 48-hour mean (0.5) and falls within the standard deviation range.",Review recent network changes or configurations that may have caused temporary fluctuations in traffic ratio. Investigate if this was caused by normal traffic spikes or misconfiguration.
11,389,False Positive,False Positive,False Positive,Network traffic drop,Medium,High,"The drop in network traffic metrics (bytes, packets) is within the normal variation range based on the historical data, suggesting no abnormal behavior.","Review historical traffic patterns for potential causes, but no immediate action required."
11,480,True Positive,Outage/Maintanance,False Positive,Network downtime,Low,High,"The values for metrics like Number of Bytes, Number of FLows, and Number of Packets are all Zero, which suggests a possible momentary network downtime or device unavailability, rather than a malicious event.",Verify the network equipment or server availability during the anomalous time window.
11,607,False Positive,False Positive,False Positive,Minor fluctuation,Low,High,"The values of metrics like Average Duration, TTL, and Bytes show only slight changes, with no significant deviation from expected trends.",Monitor the behavior over the next few hours and review for other correlated anomalies.
20,412,False Positive,False Positive,False Positive,Traffic irregularity,Low,High,"The detected anomaly in the ""Sum of Destination Ports"" metric (a drop in value) is not significant enough compared to the surrounding time series data, suggesting it may be a fluctuation rather than an actual anomaly.",Monitor the network traffic for further patterns or trends; no immediate action needed unless the issue persists.
20,854,False Positive,False Positive,False Positive,TTL spike,Low,Medium,"The TTL value is unusually High but within expected deviation, and no other significant metrics show abnormal behavior.",Monitor TTL trend over time and check if the pattern repeats before escalating.
20,1038,False Positive,False Positive,False Positive,Traffic fluctuation,Low,High,The anomaly detected in the number of fLows (44 vs 70.33) appears to be a minor fluctuation compared to normal variability and does not indicate a serious issue.,"Monitor the traffic for a few more hours to confirm if the pattern persists, but no immediate action required."
122,5786,False Positive,False Positive,False Positive,Traffic Drop,High,Medium,"The anomaly in the number of bytes and related metrics is likely a temporary drop rather than a malicious event, as most of the related metrics are beLow average but within expected fluctuations.","Investigate further for potential scheduled maintenance, temporary network congestion, or network device reconfiguration that may have caused the drop in traffic."
1367,5413-5745,True Positive,DoS,False Positive,Excessive Traffic,Medium,High,"The large volume in bytes, fLows, and packets suggests a traffic burst, but the average TTL and direction ratio indicate no unusual behavior at the network level.",Investigate source of traffic spikes; check if the anomaly was caused by a legitimate event or a misconfigured service.
1367,6341,True Positive,Port Scan,False Positive,Unexpected Traffic,Medium,High,"The detected anomaly in ""Sum of Destination Ports"" is an outlier, but it is consistent with increased traffic observed in other metrics such as ""Number of Bytes"" and ""Number of FLows,"" indicating a normal variation rather than a security incident.",Monitor network traffic for any further irregularities and confirm with the application team regarding scheduled tasks or updates.
1368,3251,True Positive,Behavior Change,False Positive,Traffic Variation,Medium,High,"The anomaly detected in the number of bytes and packets is inconsistent with the broader context, with many metrics not showing significant changes.","SOC team should monitor for any new spikes in traffic but not take immediate action, as this appears to be a natural fluctuation."
1368,5085,True Positive,Behavior Change,False Positive,Sudden Drop,Medium,High,"The sharp drop in the number of fLows and destination ASNs, along with the increased number of bytes and packets, suggests a network event rather than a malicious anomaly.",Review network traffic to verify if it's related to legitimate activity such as a shift in application behavior or service migration.
1370,1800,False Positive,Christmas,False Positive,Network misconfiguration,Low,Medium,"The detected anomaly does not significantly deviate from expected patterns, particularly when considering the metrics that seem more stable around the anomaly.",Verify network configuration and monitor for recurring issues.
1553,2539,True Positive,DDoS,False Positive,High Traffic,Medium,High,"The anomaly in the number of bytes, fLows, and packets is significant, but there is no abnormal change in metrics such as TTL or direction ratio, indicating it might be an isolated event rather than a security incident.","Investigate the High traffic for potential scheduled tasks or legitimate spikes, while monitoring for any other unusual behavior across related metrics."
1605,3405-5520,True Positive,DDoS,False Positive,Sudden Traffic Surge,Low,High,"The anomaly is primarily driven by large increases in bytes, but it is within the expected fluctuation after the detected anomaly window and does not align with other traffic metrics.",Monitor traffic trends for a few more hours to confirm if this surge stabilizes or persists.
3271,1331,True Positive,Behavior Change,False Positive,Traffic Surge,Medium,Medium,"The anomaly in multiple metrics related to bytes, packets, and fLows appears to be a temporary spike that is consistent with usual patterns after an initial fluctuation, which makes it a less Critical issue.","Monitor traffic for the next 24 hours for further spikes or patterns, but no immediate action is needed unless the anomaly persists or worsens."
10125,2485-2657,True Positive,Behavior Change,False Positive,Network Traffic Surge,Medium,High,"The anomaly values show spikes in various metrics (Bytes, FLows, Packets) but fall within a plausible range of normal network behavior, especially on weekends.",Monitor the network traffic for the next few hours to confirm whether it is a recurring issue or an isolated event.
10256,976,True Positive,Port Scan,False Positive,High Traffic Anomaly,Medium,High,"While the number of fLows and sum of destination ports show a significant spike, other metrics like bytes and packets do not show comparable anomalies, suggesting the anomaly might not be severe.",Review the traffic patterns for potential misconfiguration or a legitimate traffic surge; cross-check with application behavior for confirmation.
10729,3405,True Positive,Behavior Change,False Positive,Network Traffic Spike,High,Medium,"The detected anomaly in metrics like ""Number of Bytes"" and ""Number of FLows"" is significantly Higher than normal, but this could be due to a temporary event or legitimate network behavior.",Investigate the source of increased traffic and verify if it corresponds to scheduled activities or unexpected events like a DDoS attack or a large data transfer.
11254,861-862,True Positive,DDoS,False Positive,Likely Misclassified,Medium,High,"The detected anomalies in the metrics, especially the High values for ""Number of FLows,"" ""Sum of Destination ASN,"" ""Sum of Destination IP,"" and ""Sum of Destination Ports,"" are likely due to outlier behavior rather than a true security issue, as other indicators do not show corresponding abnormal patterns.","SOC team should review historical traffic patterns for similar events and investigate the context of this traffic spike (e.g., specific IP or service involved) to verify whether this is an anomaly or just a result of network changes."
18683,754,True Positive,Port Scan,False Positive,Network Traffic Spike,Medium,High,The detected anomalies in network metrics like bytes and packets seem to be High but not unusual in the context of potential legitimate traffic spikes or operational events.,"Monitor for similar patterns and check for scheduled tasks, updates, or known network events."
18683,1700,False Positive,False Positive,False Positive,Normal Traffic,Low,High,Most metrics show no significant deviation from their respective window averages and standard deviations.,Monitor for any further anomalies; no immediate action required.
35210,3760-3780,True Positive,Data Transfer,False Positive,Excessive Traffic,Medium,Medium,"Despite anomalies in bytes, fLows, and packets, the behavior does not align consistently with significant threats or unusual patterns after the event.",Monitor the traffic closely for a longer period and verify if the anomaly persists or is part of a known network fluctuation.
44252,4642-4646,True Positive,UDP service,False Positive,Unusual network fluctuation,Low,Medium,"The anomaly is only marginally different from the baseline, with values not significantly deviating from the established norms in terms of metrics like fLows, bytes, and packets.",Monitor the trend over a longer period and verify if the anomaly recurs or becomes more pronounced.
74727,920,True Positive,UDP service,False Positive,Traffic Spike,Low,Medium,The significant spikes in traffic metrics (like number of bytes and packets) are likely caused by an expected burst in network activity rather than a genuine anomaly.,"Monitor traffic for the next few hours to confirm if the spike persists or returns to normal levels, no immediate action required unless patterns persist."
74727,3447,True Positive,Data Transfer,False Positive,Traffic Spike,Medium,High,"The anomaly in metrics like ""Number of Bytes,"" ""Number of Packets,"" and ""Number of Bytes TCP/UDP"" can be attributed to a temporary spike, which is within the range of expected fluctuations.","Investigate for periodic network surges or large data transfers, but no immediate action required."
100610,246,False Positive,False Positive,False Positive,Network Misconfiguration,Medium,High,"The anomaly in ""Average Duration"" is significant, but the other metrics do not indicate any unusual behavior, suggesting the detected anomaly could be due to a misconfiguration or a non-malicious event.",Verify the network configuration and check for any recent changes in the network setup that could explain the unusual duration values.
100610,247,False Positive,False Positive,False Positive,Network Traffic Deviation,Low,Medium,"The detected anomaly in ""Average Duration"" does not seem significant enough compared to other metrics, and the deviation is within a reasonable range based on the context of the surrounding metrics.",Monitor for any additional anomalies in the coming hours; no immediate action required.
100610,356,True Positive,Port Scan,False Positive,Traffic Spike,High,Medium,"The metrics associated with the anomaly, especially the number of bytes and packets, show unusually High values but seem to fall within normal variation when compared to the after-anomaly statistics, suggesting this could be a transient or expected increase.",SOC team should monitor the traffic for a potential brief spike or scheduled event but avoid immediate escalation.
100610,6224,True Positive,DDoS,False Positive,Misconfigured Traffic,Medium,High,"The volume spikes in multiple metrics are likely caused by a misconfiguration or non-malicious traffic fluctuation, not a security incident.",Verify network configuration and traffic routing to identify any non-malicious causes of the traffic increase.
119651,758,True Positive,Port Scan,False Positive,Unexpected traffic spikes,Low,Medium,"The anomaly is primarily driven by a sharp increase in traffic (bytes, fLows, packets) that doesn't align with the historical patterns or other key metrics (TTL, fLow direction ratios).","Review network traffic sources to determine if there's a misconfiguration, or automated test traffic impacting metrics."
