Time Series,Anomaly Index,Our Decision,Our Label,Decision,Label,Priority,Confidence,Explanation,Suggested Action
11,189,False Positive,False Positive,False Positive,Normal Variation,Zero,High,"The detected anomaly in Direction Ratio Bytes is minimal and within expected variance, while other traffic metrics remain stable.",No action needed.
11,389,False Positive,False Positive,True Positive,Traffic Decrease,Low,High,Significant drop in multiple traffic volume metrics suggests reduced activity rather than an anomaly caused by a security incident.,Monitor for sustained decline or correlation with scheduled maintenance.
11,480,True Positive,Outage/Maintanance,True Positive,Service Shutdown,High,High,Sudden drop to Zero in all traffic metrics indicates a likely service shutdown or network disconnection.,"Verify if the server or device is intentionally shut down, investigate potential outages or configuration changes."
11,607,False Positive,False Positive,False Positive,Normal Variation,Zero,High,"The detected anomaly is a minor deviation in the direction ratio of bytes, while all other metrics remain within expected ranges.",No action needed.
20,412,False Positive,False Positive,False Positive,Reduced activity,Zero,High,"Only a decrease in the sum of destination ports is anomalous, while all other metrics indicate generally Lower activity without signs of a security threat.",No action needed.
20,854,False Positive,False Positive,False Positive,High TTL Traffic,Low,High,"The only anomaly is a High TTL value, with all other traffic metrics showing no unusual behavior.",Monitor for persistence or correlation with malicious indicators.
20,1038,False Positive,False Positive,False Positive,Reduced activity,Low,High,"The detected anomaly is only a drop in the number of fLows, with all other metrics showing consistent decreases, indicating reduced activity rather than malicious behavior.","Monitor for further unusual drops or spikes, but no immediate action required."
122,5786,False Positive,False Positive,False Positive,Reduced traffic,Low,High,"The detected anomaly is solely based on a drop in traffic volume, while other metrics remain stable, suggesting normal fluctuations rather than a security event.",Monitor for further drops but no immediate action needed.
1367,5413-5745,True Positive,DoS,True Positive,DDoS Attack,Critical,High,"Extremely High outbound traffic, fLow count, and UDP packet surge indicate potential volumetric DDoS attack.","Immediately investigate the source IP, check for attack indicators, and apply traffic mitigation measures."
1367,6341,True Positive,Port Scan,True Positive,Port Scanning,High,High,Unusual spike in destination ports suggests potential scanning activity.,Investigate source IP for suspicious behavior and block if necessary.
1368,3251,True Positive,Behavior Change,True Positive,Traffic Pattern Shift,Medium,High,"Significant deviations in average duration, TTL, and multiple volumetric metrics suggest a legitimate shift in network behavior, potentially due to a workload change or new service activity.","Investigate recent network changes, application updates, or new deployments; check logs for abnormal access patterns."
1368,5085,True Positive,Behavior Change,True Positive,Traffic Reduction,Medium,High,"Significant drop in fLows, destination ASNs, and ports suggests reduced activity, possibly due to maintenance or filtering.","Investigate recent configuration changes, firewall rules, or server maintenance logs."
1370,1800,False Positive,Christmas,False Positive,Low Traffic,Zero,High,"All traffic-related metrics are significantly Lower than usual, indicating reduced activity rather than an anomaly.",No action needed.
1553,2539,True Positive,DDoS,True Positive,Unusual UDP Traffic,High,High,Significant spike in UDP traffic volume with no TCP activity suggests potential DDoS attack or data exfiltration.,"Investigate traffic patterns, check for abnormal destinations, and correlate with security logs."
1605,3405-5520,True Positive,DDoS,True Positive,Unusual UDP Traffic,High,High,"Significant spike in UDP traffic volume, packet count, and number of destination ASNs indicates potential DDoS or large-scale data transfer.","Investigate source and destination of UDP traffic, check for signs of DDoS or data exfiltration."
3271,1331,True Positive,Behavior Change,True Positive,UDP Traffic Surge,High,High,"Significant spike in UDP traffic volume, packet count, and fLow duration suggests potential DDoS attack or misconfiguration.","Investigate the source and destination of the UDP traffic, check for signs of amplification attacks, and verify if legitimate service changes occurred."
10125,2485-2657,True Positive,Behavior Change,True Positive,High Data Transfer,High,High,Significant spike in data transfer with TCP and UDP traffic suggests potential data exfiltration or unusual activity.,"Investigate source IP, check for large Data Transfers, and review logs for unauthorized access."
10256,976,True Positive,Port Scan,True Positive,Possible scan activity,High,High,Significant increase in number of fLows and destination ports suggests a possible scanning or enumeration activity.,"Investigate the source IP for suspicious behavior, correlate with firewall and IDS logs, and check for any outbound scanning attempts."
10729,3405,True Positive,Behavior Change,True Positive,High UDP Traffic,High,High,"Significant spike in UDP traffic volume, fLows, and destination IPs suggests potential scanning or volumetric attack.","Investigate source IP, check for signs of DDoS or malicious scanning, and correlate with firewall logs."
11254,861-862,True Positive,DDoS,True Positive,Possible Scanning Activity,High,High,"Significant increase in fLows, destination IPs, ASNs, and ports suggests potential scanning or enumeration activity.","Investigate source IP behavior, check for correlation with known scanning patterns, and consider blocking if malicious."
18683,754,True Positive,Port Scan,True Positive,Possible DDoS Attack,Critical,High,"A massive spike in bytes, fLows, packets, and destination ports suggests abnormal network activity, likely an attack.","Immediate investigation and mitigation; check for attack patterns, block malicious traffic, and verify impacted services."
18683,1700,False Positive,False Positive,False Positive,Normal Variation,Zero,High,No significant deviations across multiple metrics; changes are within expected variation.,No action needed.
35210,3760-3780,True Positive,Data Transfer,True Positive,High Traffic Surge,High,High,"Significant increase in bytes, packets, and fLows suggests an unusual spike in network activity, potentially indicating a DDoS attack, data exfiltration, or misconfiguration.","Investigate the source and destination of traffic, check for abnormal patterns, and correlate with logs for potential security incidents."
