Time Series,Anomaly Index,Our Decision,Our Label,Decision,Label,Priority,Confidence,Explanation,Suggested Action
11,189,False Positive,False Positive,False Positive,Ratio Shift,Low,Medium,"Only direction ratio bytes shows anomaly, while other metrics are within normal range, suggesting a shift in traffic direction rather than a significant volumetric anomaly.",Monitor
11,389,False Positive,False Positive,False Positive,Low Volume UDP,Low,High,"All metrics indicate a decrease in traffic volume, which could be normal behavior",Investigate if service outage is expected
11,480,True Positive,Outage/Maintanance,True Positive, Zero activity,High,High,"Multiple metrics show significant drop to Zero, including all traffic and duration, suggesting a service outage.",Investigate service outage.
11,607,False Positive,False Positive,False Positive,Traffic Shift,Low,High,"Only Direction Ratio Bytes shows a Lower anomaly and other metrics are within normal range or slightly Lower, suggesting a change in traffic patterns but not malicious activity,",Monitor for further deviations.
20,412,False Positive,False Positive,False Positive,port reduction,Low,Medium,"The decreased sum of destination ports is likely a shift in communication patterns, not malicious activity as overall traffic volume is Low and decreased.",monitor
20,854,False Positive,False Positive,True Positive,TTL Spike,Medium,High,Anomalous TTL indicates potential network configuration change or routing issue.,Investigate routing.
20,1038,False Positive,False Positive,True Positive,Reduced Activity,Low,High,"Decreased fLow count, while all other metrics are within normal ranges, suggests a genuine reduction in activity.",Monitor the IP for further unusual decreases.
122,5786,False Positive,False Positive,False Positive,Normal Traffic,Zero,Medium,"Multiple byte metrics show Lower than normal values, but the number of fLows and packets is not anomalous and still have High values, so it suggests overall decrease in traffic. ",Do not investigate.
1367,5413-5745,True Positive,DoS,True Positive,DDoS Attack,Critical,High,"Massive increase in bytes, fLows and packets including UDP suggest a DDoS.",Investigate source IP.
1367,6341,True Positive,Port Scan,True Positive,Port Scan,Medium,High,Significant increase in destination ports while other metrics remain within normal ranges indicates a potential Port Scanning activity. ,Investigate source IP
1368,3251,True Positive,Behavior Change,False Positive,Traffic Shift,Low,High,"Although several metrics are marked as anomaly, it is correlated Lower traffic, with increased duration and TTL which indicates that specific server is serving traffic sLower, but traffic pattern is not indicative of attack.",Monitor server performance.
1368,5085,True Positive,Behavior Change,True Positive,Protocol shift,High,Medium,Significant decrease in fLows and destination ASN with an increased average duration suggests a potential shift in communication patterns to longer lived connection,Investigate traffic patterns and associated IPs.
1370,1800,False Positive,Christmas,False Positive,Low Traffic,Zero,High,"All metrics indicate a significant drop in traffic volume, which is not an attack, but a normal network behavior, especially on a weekend.",No action
1553,2539,True Positive,DDoS,True Positive,UDP traffic surge,High,High,"Significant increases in bytes, packets, and specifically UDP traffic, strongly suggest a potential UDP-based attack or unusual activity.",Investigate UDP traffic
1605,3405-5520,True Positive,DDoS,True Positive,UDP traffic spike,High,High,"Significant increase in UDP traffic, bytes, packets, with a decrease in TTL indicates a potential network attack or misconfiguration",Investigate UDP traffic origin
3271,1331,True Positive,Behavior Change,True Positive,UDP traffic burst,High,High,"Multiple byte/packet metrics show large increases while TCP metrics drop to Zero, suggesting potential UDP-based activity",Investigate source and destination of UDP traffic.
10125,2485-2657,True Positive,Behavior Change,True Positive,Increased traffic,High,High,,Investigate endpoint
